Week_of,new_sample_id,sample_id,sample_barcode,batch,trytofind_B18,sample_code,date_sampling,days_in_transit_storage,replicate,date_extract,conc_ext_by,aliquot_weight_unfrozen_g,elution_vol_ul,weight_vol_extracted_ml,effective_vol_extracted_ml,bCoV_spike_vol_ul,GFP_spike_vol_ul,RNA_qubit_HS_template_ul,RNA_ng_ul_qubit_HS,DNA_ng_ul_qubit_HS,DNA_qubit_HS_template_ul,DNA_ng_ul_qubit_all,RNA_ng_ul_qubit_all
,K_K_INF_070220_3,K_K_INF_070220_3,,B17,,K_K_INF,7/2/20,2,3,10/29/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,K_K_INF_071020_2,K_K_INF_071020_2,,B16,,K_K_INF,7/10/20,2,2,10/29/20,Adrian,64.2,400,40.715,40,50,20,,,,,,
,K_K_INF_071020_3,K_K_INF_071020_3,,B17,,K_K_INF,7/10/20,2,3,10/29/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,K_K_INF_081420_1,K_K_INF_081420_1,,B16,,K_K_INF,8/14/20,2,1,10/29/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,K_K_INF_090420_1,K_K_INF_090420_1,,B16,,K_K_INF,9/4/20,2,1,10/29/20,Adrian,64.2,200,40.715,40,50,20,,,,,,
,K_K_INF_062620_3,K_K_INF_062620_3,,B17,,K_K_INF,6/26/20,2,3,10/29/20,Adrian,64.2,200,40.715,40,50,20,1,186,2.5,19.56,19.56,186
,C_C_S68_051220_1,C_S68_051220_1,,B04,,C_C_S68,5/12/20,113,1,9/2/20,Adrian,64.22,200,40.735,40,50,20,,,,,,
1-Sep,C_C_ADA_081120_4,C_ADA_081120_4,,B14,,C_C_ADA,8/11/20,62,4,10/12/20,Adrian,64.3,200,40.815,40,50,20,,,,,,
,K_K_INF_090420_3,K_K_INF_090420_3,,B17,,K_K_INF,9/4/20,2,3,10/29/20,Adrian,64.3,200,40.815,40,50,20,,,,,,
,C_C_S68_042820_3,C_S68_042820_3,,B06,,C_C_S68,4/28/20,128,3,9/3/20,Adrian,64.35,200,40.865,40,50,20,,,,,,
,C_C_S68_063020_7,C_S68_063020_7,,B04,,C_C_S68,6/30/20,64,7,9/2/20,Adrian,64.36,200,40.875,40,50,20,,,,,,
,B_B_SQ_072820_4,B_SQ_072820_4,,B07,,B_B_SQ,7/28/20,41,4,9/7/20,Adrian,64.4,200,40.915,40,50,20,,,,,,
1-Sep,control_control_PBS_090820_1,control_PBS_B9_1,,B09,,control_control_PBS,9/8/20,0,1,9/8/20,Adrian,64.4,200,40.915,40,50,20,1,<5,4,<0.05,<0.05,<5
,C_C_ADA_080420_2,C_ADA_080420_2,,B15,,C_C_ADA,8/4/20,72,2,10/15/20,Adrian,64.4,200,40.915,40,50,20,,,,,,
,C_C_ADA_081120_2,C_ADA_081120_2,,B15,,C_C_ADA,8/11/20,65,2,10/15/20,Adrian,64.4,200,40.915,40,50,20,,,,,,
,K_K_INF_072420_2,K_K_INF_072420_2,,B16,,K_K_INF,7/24/20,2,2,10/29/20,Adrian,64.4,200,40.915,40,50,20,,,,,,
7-Sep,C_C_ADA_090920_4,C_ADA_090920_4,,B18,B18,C_C_ADA,9/9/20,56,4,11/4/20,Adrian,64.4,200,40.915,40,50,20,,,,,,
,C_C_S68_051220_3,C_S68_051220_3,,B06,,C_C_S68,5/12/20,114,3,9/3/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
,control_control_PBS_091720_1,control_PBS_B11_1,,B11,,control_control_PBS,9/17/20,0,1,9/17/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
,control_control_PBS_090820_1,control_PBS_B8_1,,B08,,control_control_PBS,9/8/20,0,1,9/8/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
,C_C_N49_072820_2,C_N49_072820_2,,B11,,C_C_N49,7/28/20,51,2,9/17/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
,C_C_N49_080420_2,C_N49_080420_2,,B11,,C_C_N49,8/4/20,44,2,9/17/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
1-Sep,C_C_N49_090120_2,C_N49_090120_2,,B11,,C_C_N49,9/1/20,16,2,9/17/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
,K_K_INF_073120_3,K_K_INF_073120_3,,B17,,K_K_INF,7/31/20,2,3,10/29/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
14-Sep,B_B_SQ_091520_4,B_SQ_091520_4,,B18,B18,B_B_SQ,9/15/20,50,4,11/4/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
,K_K_INF_082120_2,K_K_INF_082120_2,,B16,,K_K_INF,8/21/20,2,2,10/29/20,Adrian,64.5,200,41.015,40,50,20,,,,,,
,C_C_ADA_052820_4,C_ADA_052820_4,,B14,,C_C_ADA,5/28/20,137,4,10/12/20,Adrian,64.6,200,41.115,40,50,20,,,,,,
,C_C_N49_080420_3,C_N49_080420_3,,B18,tried to be B10,C_C_N49,8/4/20,92,3,11/4/20,Adrian,64.6,200,41.115,40,50,20,,,,,,
,K_K_INF_061920_1,K_K_INF_061920_1,,B16,,K_K_INF,6/19/20,2,1,10/29/20,Adrian,64.6,200,41.115,40,50,20,,,,,,
,K_K_INF_070220_1,K_K_INF_070220_1,,B16,,K_K_INF,7/2/20,2,1,10/29/20,Adrian,64.6,200,41.115,40,50,20,,,,,,
,control_control_PBS_083120_1,control_PBS_B1_1,,B01,,control_control_PBS,8/31/20,,1,8/31/20,Adrian,64.7,200,41.215,40,50,20,,,,,,
,control_control_PBS_090720_1,control_PBS_B7_1,,B07,,control_control_PBS,9/7/20,0,1,9/7/20,Adrian,64.7,200,41.215,40,50,20,5,<1,10,<0.02,<0.05,<5
,K_K_INF_072420_3,K_K_INF_072420_3,,B17,,K_K_INF,7/24/20,2,3,10/29/20,Adrian,64.7,200,41.215,40,50,20,,,,,,
