Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
G9,FALSE,5x_C_S68_071420_1,N1 Twist man,FAM,Unknown,37.84132105,2.746635344,100,100_G9,N,Y,N,,,,,,,,,,,,,
D12,FALSE,J_UCV_081320_1,Xeno IPC man,VIC,Unknown,30.845818,2.785302,80,80_D12,N,N,N,,,,,,,,,,,,,
H4,FALSE,B_SQ_081120_4,N1 IVT man,FAM,Unknown,36.773098,2.8612509,78,78_H4,N,N,N,,,,,,,,,,,,,
D7,FALSE,E_INF_090820_4,N1 Twist man,FAM,Unknown,38.30686194,2.905499191,99,99_D7,N,N,N,,,,,,,,,,,,,
B4,FALSE,B_SQ_091520_4,N1 Twist man,FAM,Unknown,38.30618857,2.906785752,99,99_B4,N,N,N,,,,,,,,,,,,,
G9,FALSE,5x_E_Inf_070520_1,N1 Twist man,FAM,Unknown,37.46861047,2.910399901,96,96_G9,N,Y,N,,,,,,,,,,,,,
G4,FALSE,B_SQ_080420_4,N1 IVT man,FAM,Unknown,36.687794,3.0237844,78,78_G4,N,N,N,,,,,,,,,,,,,
F11,FALSE,2x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,37.64566814,3.128927656,100,100_F11,N,Y,N,,,,,,,,,,,,,
F7,FALSE,2x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.6173691,3.201421209,102,102_F7,N,Y,N,,,,,,,,,,,,,
G11,FALSE,5x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,37.51428787,3.415061678,100,100_G11,N,Y,N,,,,,,,,,,,,,
C7,FALSE,5x_ C_S68_060920_1,N1 Twist man,FAM,Unknown,37.47336909,3.509414833,100,100_C7,N,Y,N,,,,,,,,,,,,,
F5,FALSE,2x_E_INF_091420_4,N1 Twist man,FAM,Unknown,38.30525459,3.630955224,101,101_F5,N,Y,N,,,,,,,,,,,,,
E9,FALSE,E_INF_091420_4,N1 Twist man,FAM,Unknown,37.95563125,3.660214038,99,99_E9,N,N,N,,,,,,,,,,,,,
A5,FALSE,1x_C_N49_090120_4,N1 Twist man,FAM,Unknown,37.39013341,3.709466404,100,100_A5,N,Y,N,,,,,,,,,,,,,
A1,FALSE,NTC,Xeno IPC man,VIC,Negative Control,31.6935462,,88,88_A1,Y,N,N,,,,,,,,,,,,,
C11,FALSE,J_UCV_080620_1,Xeno IPC man,VIC,Unknown,30.810297,3.7682366,80,80_C11,N,N,N,,,,,,,,,,,,,
C9,FALSE,5x_ C_S68_060920_1,N1 Twist man,FAM,Unknown,37.36062419,3.783095221,100,100_C9,N,Y,N,,,,,,,,,,,,,
H7,FALSE,10x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.35299543,3.868621394,102,102_H7,N,Y,N,,,,,,,,,,,,,
B4,FALSE,2x_E_INF_090820_4,N1 Twist man,FAM,Unknown,38.20524748,3.876885218,101,101_B4,N,Y,N,,,,,,,,,,,,,
A2,FALSE,NTC,Xeno IPC man,VIC,Negative Control,32.0146687,,88,88_A2,Y,N,N,,,,,,,,,,,,,
A8,FALSE,B_SQ_081820_4,N1 IVT man,FAM,Unknown,36.244404,4.029677,78,78_A8,N,N,N,,,,,,,,,,,,,
G8,FALSE,5x_E_Inf_070520_1,N1 Twist man,FAM,Unknown,36.98230143,4.046165636,96,96_G8,N,Y,N,,,,,,,,,,,,,
E8,FALSE,E_INF_091420_4,N1 Twist man,FAM,Unknown,37.71041094,4.300544216,99,99_E8,N,N,N,,,,,,,,,,,,,
